Job Title,Company,Location,Experience,Job ID,Listing URL,Job URL,Salary,Skills,Description,Company Details,Additional Requirements
Python Software Developer,Sarva Sudarsanaa Academy,Chennai,19 Jan - 22 Jan,140126030593,https://www.naukri.com/job-listings-python-software-developer-sarva-sudarsanaa-academy-chennai-0-to-0-years-140126030593,https://www.naukri.com/job-listings-python-software-developer-sarva-sudarsanaa-academy-chennai-19-jan-22-jan-140126030593,,"Javascript, Django Framework, Python Development, Python, Html/Css, React.Js, SQL","Job description
We are looking for a motivated and passionate Python Developer to join our development team & good logical skills and willingness to learn are encouraged to apply. they should have strong fundamentals in Python programming
Role: Full Stack Developer
Industry Type: IT Services & Consulting
Department: Engineering - Software & QA
Employment Type: Full Time, Permanent
Role Category: Software Development
Education
UG: Any Graduate
PG: Any Postgraduate
Key Skills
Skills highlighted with ‘‘ are preferred keyskills
JavascriptDjango FrameworkPython DevelopmentPythonHtml/Css
React.JsSQL",,"Role: Full Stack Developer
Industry Type: IT Services & Consulting
Department: Engineering - Software & QA
Employment Type: Full Time, Permanent
Role Category: Software Development"
PYTHON DEVELOPMENT,Godigi Infotech,Mumbai,No fixed duration,241125506814,https://www.naukri.com/job-listings-python-development-godigi-infotech-mumbai-0-to-1-years-241125506814,https://www.naukri.com/job-listings-python-development-godigi-infotech-mumbai-no-fixed-duration-241125506814,,"Computer science, Automation, Front end, Version control, Postgresql, Django, MySQL, Data structures, Internship, Python","Description
Download Our Mobile App
Download our mobile app to access online courses, free digital notes, interview prep, free job updates, and more - all in one powerful app!
Job description
Assist in writing clean, scalable, and efficient Python code
Support development of REST APIs, automation tools, or web applications
Debug and test existing code, assist in optimizing performance
Work with frameworks like Flask, Django, or FastAPI
Integrate data from various back-end services and databases
Collaborate with cross-functional teams including front-end, QA, and DevOps
Maintain proper documentation for code and processes
Other requirements :
Good understanding of Python fundamentals, OOP, and data structures
Familiarity with Flask or Django (academic or personal projects)
Basic understanding of databases like MySQL, PostgreSQL, or MongoDB
Exposure to version control systems like Git
Willingness to learn, strong problem-solving ability, and attention to detail
Bonus: Knowledge of Pandas, NumPy, or scripting for automation
Final-year students or recent graduates in computer science, IT, or related fields
Availability to commit for a full-time internship for the specified duration
Portfolio or GitHub showcasing Python projects (preferred)
Role: Blockchain Quality Assurance Engineer
Industry Type: Management Consulting
Department: Engineering - Software & QA
Employment Type: Full Time, Permanent
Role Category: Quality Assurance and Testing
Education
UG: Any Graduate
PG: Any Postgraduate
Key Skills
Computer scienceAutomationFront endVersion controlPostgresqlDjangoMySQLData structuresInternshipPython",,"Role: Blockchain Quality Assurance Engineer
Industry Type: Management Consulting
Department: Engineering - Software & QA
Employment Type: Full Time, Permanent
Role Category: Quality Assurance and Testing"
Python Software Developer,Capace Software,Bengaluru(5th Phase JP Nagar),4-8 Yrs,170126002210,https://www.naukri.com/job-listings-python-software-developer-capace-software-bengaluru-4-to-8-years-170126002210,https://www.naukri.com/job-listings-python-software-developer-capace-software-bengaluru-5th-phase-jp-nagar-4-8-yrs-170126002210,,"Rest Api Development, Python Development, Django Rest Api, Django, Django Framework, ORM, Rest Api Services, SQL, Python, Flask","Job description
Responsibilities:
* Design, develop, test & maintain Python apps using Django framework with REST API services.
* Collaborate with cross-functional teams on project requirements & deliverables.


Annual bonus
Role: Back End Developer
Industry Type: Software Product
Department: Engineering - Software & QA
Employment Type: Full Time, Permanent
Role Category: Software Development
Education
UG: Any Graduate
Key Skills
Skills highlighted with ‘‘ are preferred keyskills
Rest Api DevelopmentPython Development
Django Rest ApiDjangoDjango FrameworkORMRest Api ServicesSQLPythonFlask",,"Role: Back End Developer
Industry Type: Software Product
Department: Engineering - Software & QA
Employment Type: Full Time, Permanent
Role Category: Software Development"
